VisitID,ProgramSiteID,SiteName,WatershedID,WatershedName,SampleDate,HitchName,CrewName,VisitYear,IterationID,CategoryName,PanelName,VisitDate,ProtocolID,ProgramID,AEM,Bug Validation,CHaMP 10% Revisit,CHaMP Core,CHaMP-PiBO Comparison,Effectiveness,Has Fish Data,IMW,Remove,Velocity Validation,Primary Visit,QC Visit,Error,No,Yes,Grad,Sin,Sin_CL,Area_Wet,Area_Bf,WetVol,BfVol,WetWdth_Int,DetrendElev_SD,DpthWet_SD,BfWdthInt,Lgth_Wet,Lgth_Bf,DpthBf_Avg,DpthBf_Max,Lgth_Thlwg,DpthThlwg_UF_Avg,DpthThlwg_UF_CV,BfWdth_Avg,BfWdth_CV,BfWMxDRat_Avg,BfWMxDRat_CV,BfWDRat_Avg,BfWDRat_CV,WetWdth_Avg,WetWdth_CV,WetWDRat_Avg,WetWDRat_CV,WetWMxDRat_Avg,WetWMxDRat_CV,SlowWater_Area,SlowWater_Ct,SlowWater_Freq,PoolResidDpth,SlowWater_Vol,SlowWater_Pct,FstTurb_Area,FstTurb_Ct,FstTurb_Freq,FstTurb_Vol,FstTurb_Pct,FstNT_Area,FstNT_Ct,FstNT_Freq,FstNT_Vol,FstNT_Pct,Q,SubEmbed_Avg,SubEmbed_SD,SubD16,SubD50,SubD84,SubLT2,SubLT6,Cond,Alk,RipCovBigTree,RipCovConif,RipCovGrnd,RipCovNonWood,RipCovUstory,RipCovWood,RipCovCanNone,SubEstBldr,SubEstCbl,SubEstGrvl,SubEstSandFines,FishCovLW,FishCovTVeg,FishCovArt,FishCovNone,FishCovAqVeg,FishCovTotal,SolarSummr_Avg,UcutLgth_Pct,UcutArea_Pct,Ucut_Area,LWFreq_Wet,LWFreq_Bf,LWVol_Wet,LWVol_Bf,LWVol_WetSlow,LWVol_BfSlow,LWVol_WetFstTurb,LWVol_BfFstTurb,LWVol_WetFstNT,LWVol_BfFstNT,DriftBioMass,BfBraid,BfChnl_Ct,Bf_Island_Ct,BfMChnl_Part_Ct,Bf_QIsland_Ct,Lgth_BfChnl,BfSCWdth,BfSCWdth_CV,BfSCWDRat_Avg,BfSCWDRat_CV,BfSCWMxDRat_Avg,BfSCWMxDRat_CV,Bf_QIsland_Area,WetBraid,WetChnl_Ct,Wet_Island_Ct,Lgth_WetMChnl,WetMChnl_Area,WetChnl_Sin,Lgth_WetChnl,WetSCL_Area,WetSCS_Area,WetSC_Pct,WetSCWdth,WetSCWdth_CV,WetSCWDRat_Avg,WetSCWDRat_CV,WetSCWMxDRat_Avg,WetSCWMxDRat_CV,WetMChnl_Part_Ct,Wet_QIsland_Ct,Wet_QIsland_Area,SiteGeoDatabase_FileName,OrthogonalGeoDatabase_FileName,RBTOutputs_FileName,ResultsXML_FileName,LogFile_FileName,HydraModelInputs_FileName,HydraModelResults_FileName,BathymetryImg_FileName,BndryCndtnsImg_FileName,WettedDepthImg_FileName,WettedElevImg_FileName,DepthImg_FileName,VelocityImg_FileName,GCDADCNtThckDffT0,GCDADCNtThckDffErrT0,GCDADCNtThckDffT1,GCDAOINtThckDffT0,GCDADCNtThckDffErrT1,GCDAOINtThckDffErrT0,GCDAOINtThckDffT1,GCDAOINtThckDffErrT1,GCDADCTtThckDffT0,GCDADCTtThckDffErrT0,GCDADCTtThckDffT1,GCDADCTtThckDffErrT1,GCDAOITtThckDffT0,GCDAOITtThckDffErrT0,GCDAOITtThckDffT1,GCDAOITtThckDffErrT1,GCDAOIAreaDtctChngT0,GCDAOIAreaDtctChngT1,GCDImbalPctT0,GCDImbalPctT1,GCDChnlVolDiffT0,GCDChnlVolDiffT1,BraidChannelRatio,PoolToTurbulentAreaRatio,ChannelPattern,BankErosion,ConstrainingFeatureHeightAverage,FloodProneWidthAverage,ValleyWidth,ConstrainingFeatureType,PercentConstrained,CountOfPoolFormingLWD,CountOfKeyLWD,CountOfJamLWD,CountOfRightBankLWDPieces,CountOfLeftBankLWDPieces,CountOfMidChannelLWDPieces,CountOfLWD,CountOfChinook,CountOfCoho,CountOfSockeye,CountOfChum,CountOfOmykiss,CountOfPink,CountOfCutthroat,CountOfBulltrout,CountOfBrooktrout,CountOfLamprey,CountOfOtherSpecies,DensityOfChinook,DensityOfCoho,DensityOfSockeye,DensityOfChum,DensityOfOmykiss,DensityOfPink,DensityOfCutthroat,DensityOfBulltrout,DensityOfBrooktrout,DensityOfLamprey,DensityOfOtherSpecies
213,68375,ASW00001-CC-F1 P2BR,17,Asotin,7/25/2011,2011- Eco Logical Research - Local Crew,Local Crew,2011,1,Asotin IMW,Annual,7/25/2011,416,1,,,,,,,Yes,Yes,,,Yes,,,Yes,,2.328,1.14037,1.12076,553.18253,680.89951,94.12288,231.40469,3.10756,0.96867,0.1609,3.81498,178.01212,178.48038,0.30987,1.01178,180.48052,0.24596,0.64322,3.78157,0.31196,10.81424,0.44913,15.72892,0.47144,3.10025,0.25811,22.69965,0.51359,14.98859,0.4761,93.08,6,3.37056,0.65,29.72589,16.82627,415.94999,10,5.61759,59.52215,75.19218,14,1,0.56176,2.09173,2.53081,0.22394,,,2,34,82,19.37037,22.77777,102,86,7,0,41,24.1,50.6,105,62.5,3.45175,39.55088,41.5948,14.77878,7.3077,4.54539,0.1311,85.67185,,15.45525,4.8364,,,,11.23519,21.34686,3.56409,5.34281,2.09401,2.14279,1.47008,2.64889,0,0.55113,,1,1,1,1,0,178.48038,,,,,,,0,1,1,0,178.01212,523.03003,1.12,178.01212,,,,,,,,,,1,0,0,,,artifacts.zip,results.xml,log.xml,hydromodelinputs.zip,results.zip,bathymetry.jpg,boundary_conditions.jpg,w_depth.jpg,ws_elevation.jpg,depth.png,velocity.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,68377,ASW00001-CC-F2 P1BR,17,Asotin,7/27/2011,2011- Eco Logical Research - Local Crew,Local Crew,2011,1,Asotin IMW,Annual,7/27/2011,416,1,,,,,,,Yes,Yes,,,Yes,,,Yes,,2.789,1.37579,1.33384,560.33202,696.3139,62.9611,150.8985,3.6474,0.82274,0.07342,4.52396,153.62499,153.91678,0.24056,1.96326,158.98132,0.1987,0.38078,4.50578,0.23625,11.39563,0.41369,16.9611,0.45416,3.55101,0.26411,22.54698,0.64691,14.53456,0.54966,33.5,2,1.30187,0.285,7.4443,5.9786,439.89001,7,4.55655,54.13033,78.50524,0,0,0,0,0,0.19773,,,23,57,122,5,8.33333,108,76,4.5,0,45.1,35.9,36.9,80.1,66,5.05914,40.24176,42.86936,11.8667,8.09129,13.42664,0,75.60269,,31.28505,7.88233,,,,5.85842,9.1131,2.71104,2.85225,0,0,2.71104,2.85225,0,0,,1,1,1,1,0,153.91678,,,,,,,0,1,1,3,153.62499,473.38998,1.33,153.62499,,,,,,,,,,1,0,0,,,artifacts.zip,results.xml,log.xml,hydromodelinputs.zip,results.zip,bathymetry.jpg,boundary_conditions.jpg,w_depth.jpg,ws_elevation.jpg,depth.png,velocity.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,68377,ASW00001-CC-F2 P1BR,17,Asotin,8/18/2012,AsotinCHaMP2012,Reid Crew,2012,2,Asotin IMW,Annual,8/18/2012,806,1,,,,,,,Yes,Yes,,,Yes,,,Yes,,2.764,1.33293,1.31876,511.71047,839.9532,62.75976,232.60049,3.16691,0.73741,0.06981,5.17823,161.58038,162.20859,0.27618,0.7334,162.427,0.19361,0.32697,5.18649,0.22279,11.98716,0.26081,19.43249,0.32432,3.12615,0.2495,28.31328,0.47978,17.03746,0.40542,26.46,2,1.23777,0.315,4.56281,5.17089,418.35,5,3.09444,52.42557,81.75521,41.93,1,0.61889,5.68242,8.19409,0.113,6.72826,15.82759,34,69,119,5.33333,18.66666,143.1,62,9,0,25.55555,7.77777,28.44444,72.55555,73.6,7.11642,54.67991,27.17847,9.94555,11.03042,9.92675,0,79.04281,0,20.97168,60.73176,,1.42551,7.4,3.71332,6.18887,28.77934,31.07606,0,0,28.77934,31.07606,0,0,0.000115,,1,,1,,162.20859,,,,,,,,,1,,161.58038,486.73999,1.32,161.58038,,,,,,,,,,1,,,,,artifacts.zip,results.xml,log.xml,hydromodelinputs.zip,results.zip,bathymetry.jpg,boundary_conditions.jpg,w_depth.jpg,ws_elevation.jpg,depth.png,velocity.png,0.16338,0.09349,,0.03446,,0.01972,,,0.24178,0.11251,,,0.051,0.02373,,,21.09374,,33.78842,,67.57684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567,68377,ASW00001-CC-F2 P1BR,17,Asotin,8/16/2013,Asotin JulyAugHitch,Asotin Crew,2013,3,Asotin IMW,Annual,8/16/2013,1966,1,,Yes,,,,,Yes,Yes,,Yes,Yes,,,Yes,,2.718,1.34902,1.326,465.07569,682.66277,68.8812,159.50909,2.78329,0.6974,0.06446,4.11024,167.09574,166.08812,0.22029,0.70642,169.58574,0.22093,0.26701,4.15652,0.23052,13.38698,0.30373,21.78506,0.35568,2.73481,0.24094,27.22272,0.38123,16.46477,0.39629,40.24,3,1.79538,0.25,8.06304,8.65235,396.3,6,3.59076,56.87928,85.21194,23.9,1,0.59846,3.79295,5.13895,0.16702,0.50531,1.27421,30,56,89,6.83333,16.16666,117.1,56,5.5,0,22.5,21.5,36,66.5,70.5,5.78164,39.93397,37.68753,16.59684,7.26305,12.32592,0,80.41101,0,19.59877,66.58096,2.76787,1.00047,4.7,11.37072,13.76456,4.62737,4.87889,3.8207,3.8207,0.5541,0.80562,0.25257,0.25257,0.000325,,1,,1,,166.08812,,,,,,,,,1,,167.09574,460.44003,1.33,167.09574,,,,,,,,,,1,,,,,artifacts.zip,results.xml,log.xml,hydromodelinputs.zip,results.zip,bathymetry.jpg,boundary_conditions.jpg,w_depth.jpg,ws_elevation.jpg,depth.png,velocity.png,0.13462,0.07338,0.03989,0.03507,0.07449,0.01912,0.00177,0.0033,0.22756,0.0936,0.19716,0.10421,0.05928,0.02438,0.00873,0.00462,26.05152,4.42998,29.57903,10.11658,59.15806,20.23316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2428,68377,ASW00001-CC-F2 P1BR,17,Asotin,9/17/2014,Charley Creek Sites,Asotin Crew,2014,4,Asotin IMW,Annual,9/17/2014,2020,1,,,,,,,Yes,Yes,,,Yes,,,,,2.77,1.32249,1.47939,637.32724,788.34383,86.33082,200.80877,3.78003,0.67023,0.07764,4.69862,168.60371,167.7819,0.25711,0.99377,167.07972,0.2324,0.34328,4.43584,0.19119,11.03066,0.27249,16.54205,0.24563,3.65618,0.22006,23.52007,0.35222,14.88766,0.36277,53.1,3,1.77932,0.19333,11.53828,8.33167,543.42001,3,1.77932,74.36647,85.26546,0,0,0,0,0,0.16774,0.04583,0.26637,33,69,127,15.29746,19.89795,122,72,10,0.5,21.5,13,35.5,77,67,4.8637,34.12643,45.88211,14.83487,13.19008,14.54335,0,69.18552,3.08103,30.82185,70.19161,2.81725,0.68564,4.4,8.30349,11.26902,12.48124,12.63334,7.58795,7.58795,4.89328,5.04539,0,0,0.001021,1.12423,2,1,1,1,188.62602,2.46417,0.24188,20.1988,0.1924,11.48777,0.16856,30.43956,1.12393,2,1,168.60371,596.52002,1.32,189.49929,,13.04,2.13925,1.13313,0.52619,31.03236,0.29042,18.28612,0.36298,1,1,46.85567,,,artifacts.zip,results.xml,log.xml,hydromodelinputs.zip,results.zip,bathymetry.jpg,boundary_conditions.jpg,w_depth.jpg,ws_elevation.jpg,depth.png,velocity.png,0.08792,0.05941,0.07373,0.02117,0.07187,0.0143,0.00671,0.00654,0.19612,0.0813,0.19621,0.09688,0.04721,0.01957,0.01785,0.00882,24.07435,9.09886,22.41623,18.78971,44.83247,37.57942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3431,68377,ASW00001-CC-F2 P1BR,17,Asotin,8/29/2015,Asotin Sites 2015,Asotin Crew,2015,5,Asotin IMW,Annual,8/29/2015,2020,1,,,,,,,Yes,Yes,,,Yes,,,,,2.737,1.32141,1.47157,840.55818,903.80935,56.66085,174.79354,5.07729,0.76877,0.06365,5.46219,165.55254,165.46653,0.23807,0.64508,165.56704,0.17747,0.34798,5.19043,0.21827,9.90981,0.26394,15.36341,0.26685,4.78386,0.21614,15.83641,0.25087,10.3918,0.26447,51.19,4,2.41615,0.23667,7.36686,6.09,365.38,4,2.41615,40.03345,43.46873,102.15,2,1.20808,8.69213,12.15264,0.17442,3.35483,7.47991,4,40,118,25.00652,40.05314,143.6,70,2.5,0,1.5,1,33.5,39,95,10.44956,23.93266,33.60666,31.77109,5.06332,11.19399,0,81.60809,2.13458,18.41022,39.77703,10.78207,1.7762,15.2,9.06056,12.68479,16.85427,17.16365,14.97019,15.0375,0.72644,0.90199,1.15763,1.22416,0.000064,1.10686,2,1,1,1,183.14877,3.07224,0.04673,12.69588,0.07719,8.36785,0.1142,11.16008,1.12204,2,1,165.55254,518.72003,1.31,185.75656,,10.96,2.06917,3.14148,0.15027,16.87986,0.31913,10.54568,0.23407,1,1,21.50273,,,artifacts.zip,results.xml,log.xml,hydromodelinputs.zip,,,,,,,,0.12709,0.06638,0.09173,0.03815,0.05396,0.01993,0.01092,0.00642,0.21075,0.08447,0.11695,0.06043,0.06327,0.02536,0.01392,0.00719,30.02106,11.90355,30.1518,39.21781,60.30359,78.43561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3934,68377,ASW00001-CC-F2 P1BR,17,Asotin,10/29/2016,Asotin Sites,Asotin Crew,2016,6,Asotin IMW,Annual,10/29/2016,2020,1,,,,,,,Yes,Yes,,,Yes,,,,,2.83,1.3159,1.48596,623.88276,822.77341,98.49518,231.75859,3.66203,0.97774,0.08323,4.85336,170.36529,169.52662,0.28179,0.72058,168.85315,0.22385,0.32348,4.5557,0.21779,10.59474,0.26485,15.5286,0.27038,3.51927,0.24296,23.10195,0.32674,15.38282,0.32941,59.76,3,1.76092,0.32667,14.57794,9.57872,429.35001,5,2.93487,65.40434,68.81902,103.68,3,1.76092,17.65629,16.61851,0.18504,1.42187,4.21997,7,39,95,19.86671,42.0318,132,80,3,0,14.5,9.5,15.5,30.5,90,0,26.17959,56.87241,16.16972,1.80164,0,0,98.19835,0,1.81175,59.33348,4.461,0.98399,6.2,12.91342,15.84829,15.70742,17.39742,11.13974,11.13974,2.34281,2.50564,2.22486,3.75203,,1.12735,2,1,1,1,191.11504,2.93696,0.1731,16.92138,0.1753,9.92669,0.15665,31.19676,1.12419,2,1,170.36529,592.79004,1.32,191.52248,,18.06,2.95654,1.38471,0.4762,32.00078,0.49148,17.71524,0.56736,1,1,47.79476,,,artifacts.zip,results.xml,log.xml,hydromodelinputs.zip,,,,,,,,0.15524,0.09977,0.03742,0.03014,0.05176,0.01937,0.00151,0.00209,0.24117,0.12014,0.13233,0.07067,0.04683,0.02333,0.00534,0.00285,19.41808,4.036,32.18501,14.14006,64.37001,28.28011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,68380,ASW00001-CC-F3 P1BR,17,Asotin,7/31/2013,Asotin JulyAugHitch,Asotin Crew,2013,3,Asotin IMW,Annual,7/31/2013,1966,1,,,,,,,Yes,Yes,,Yes,Yes,,,Yes,,2.579,1.05039,1.02009,595.00673,698.38014,77.46735,190.59303,3.70838,0.97388,0.07922,4.3608,160.44931,160.14945,0.28761,0.85242,164.0661,0.22826,0.26491,4.3514,0.16163,9.44815,0.23977,13.70716,0.28458,3.67731,0.16506,19.94617,0.32887,12.95545,0.29646,45.17,3,1.86975,0.19,9.27696,7.59151,476.40001,6,3.7395,65.62623,80.06632,15.56,1,0.62325,2.51547,2.6151,0.16076,9.56944,15.20498,9,44,116,6.17687,10.35034,119,68,3.5,0,60,37.5,34,67.5,89,4.65017,29.7603,52.55403,13.03548,4.64235,7.84028,0,88.55379,0,12.49639,65.71703,5.87412,1.29394,7.8,4.36274,7.47899,0.2498,0.92442,0.02035,0.3591,0.22945,0.56532,0,0,,,1,,1,,160.14945,,,,,,,,,1,,160.44931,537.12994,1.02,160.44931,,,,,,,,,,1,,,,,artifacts.zip,results.xml,log.xml,hydromodelinputs.zip,results.zip,bathymetry.jpg,boundary_conditions.jpg,w_depth.jpg,ws_elevation.jpg,depth.png,velocity.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2164,68380,ASW00001-CC-F3 P1BR,17,Asotin,9/8/2014,Charley Creek Sites,Asotin Crew,2014,4,Asotin IMW,Annual,9/8/2014,2020,1,,,,,,,Yes,Yes,,,Yes,,,,,2.734,1.02461,1.01613,714.95405,749.52154,86.74205,184.93912,4.42615,1.00042,0.08818,4.64636,161.52957,161.31379,0.27686,0.60522,162.50835,0.21938,0.23475,4.63914,0.148,8.93796,0.19133,12.57305,0.2325,4.42131,0.15063,13.80728,0.2414,9.75669,0.19759,107.3,4,2.47633,0.1425,18.55068,15.00796,331.22,3,1.85725,45.92951,46.32745,133.76,3,1.85725,22.25406,18.70889,0.17073,0.35087,1.29633,33,66,114,10.98202,25.46793,115,64,6.5,2,31,19,28.5,67.5,73,5.7201,33.13089,46.40315,14.74584,8.80941,9.06252,0,82.12806,0,17.88113,74.64678,4.85979,0.7634,5.5,22.90602,24.76326,1.31795,1.52149,0.34647,0.54216,0.80914,0.81699,0.16233,0.16233,0.000048,1,1,1,1,0,161.31379,,,,,,,0,1,1,0,161.52957,572.28003,1.02,161.52957,,,,,,,,,,1,0,0,,,artifacts.zip,results.xml,log.xml,hydromodelinputs.zip,results.zip,bathymetry.jpg,boundary_conditions.jpg,w_depth.jpg,ws_elevation.jpg,depth.png,velocity.png,-0.10876,0.06724,,-0.01358,,0.00839,,,0.14593,0.07691,,,0.01822,0.0096,,,12.48391,,-37.26431,,-74.52862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3047,68380,ASW00001-CC-F3 P1BR,17,Asotin,8/31/2015,Asotin Sites 2015,Asotin Crew,2015,5,Asotin IMW,Annual,8/31/2015,2020,1,,,,,,Yes,Yes,Yes,,,Yes,,,,,2.703,1.02437,1.01885,512.60037,653.43114,76.21753,184.31244,3.17915,0.97377,0.07524,4.05389,161.23796,161.18613,0.28829,0.5965,161.43679,0.21375,0.28181,4.02778,0.1739,9.72572,0.23451,13.83147,0.2432,3.16096,0.20819,24.49786,0.54793,16.11972,0.53318,23.11,1,0.6202,0.22,3.90138,4.50839,343.89999,2,1.2404,51.21867,67.0893,131.36,2,1.2404,20.85564,25.6262,0.14575,0.66891,4.02684,15,50,88,9.33333,22.02777,117,72,5.5,5,15.5,13,21,32,91.5,3.45024,34.79794,46.91042,14.84138,4.37245,7.21381,0,90.23185,0,11.61569,26.26748,10.07827,2.89827,15.3,23.56765,27.90906,1.60632,2.03696,0.04512,0.14715,1.32704,1.65565,0.23415,0.23415,0.00012,1,1,1,1,1,161.18613,,,,,,,2.16846,1,1,4,161.23796,498.36996,1.02,161.23796,,,,,,,,,,1,0,0,,,artifacts.zip,results.xml,log.xml,hydromodelinputs.zip,,,,,,,,-0.00104,0.06336,0.17219,-0.00014,0.10366,0.00877,0.01084,0.00653,0.18203,0.08896,0.22564,0.11918,0.0252,0.01231,0.01421,0.0075,13.84155,6.29559,-0.28615,38.15459,-0.57229,76.30919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
