x,y
476840.45,5116550.05
476840.3616,5116549.9664
476840.2666,5116549.869
476840.1497,5116549.7416
476840.0198,5116549.5895
476839.8861,5116549.418
476839.758,5116549.2322
476839.662,5116549.0722
476839.575,5116548.9115
476839.4207,5116548.6112
476839.3286,5116548.4438
476839.1437,5116548.1245
476839.0599,5116547.9613
476838.9908,5116547.7919
476838.9414,5116547.6125
476838.9085,5116547.4261
476838.8873,5116547.235
476838.8742,5116547.0405
476838.8662,5116546.8439
476838.8532,5116546.2497
476838.8466,5116546.0526
476838.8358,5116545.8572
476838.8183,5116545.6646
476838.7911,5116545.476
476838.7502,5116545.2929
476838.6906,5116545.1175
476838.6108,5116544.9559
476838.5137,5116544.8012
476838.4045,5116544.6511
476838.2877,5116544.5037
476838.0449,5116544.2102
476837.9252,5116544.0609
476837.8109,5116543.9074
476837.7061,5116543.7507
476837.609,5116543.5892
476837.519,5116543.4238
476837.4362,5116543.2551
476837.3615,5116543.0833
476837.2961,5116542.9084
476837.2424,5116542.7301
476837.2031,5116542.5539
476837.1734,5116542.3751
476837.15,5116542.1946
476837.0892,5116541.6492
476837.0636,5116541.468
476837.0348,5116541.3022
476836.9384,5116540.8063
476836.9113,5116540.6402
476836.8883,5116540.4512
476836.872,5116540.2611
476836.8608,5116540.0701
476836.8533,5116539.8784
476836.8454,5116539.4938
476836.8423,5116538.9152
476836.4539,5116537.8737
476836.4142,5116537.2783
476836.5333,5116536.6037
476836.7053,5116536.1539
476836.7714,5116535.929
476836.7979,5116535.7305
476836.8986,5116535.458
476836.9243,5116535.2728
476837.0133,5116534.8016
476837.1613,5116534.1257
476837.1916,5116533.9366
476837.2133,5116533.7451
476837.2284,5116533.5518
476837.2388,5116533.3573
476837.2502,5116532.9656
476837.2552,5116532.3748
476837.256,5116530.201
476837.2677,5116528.4193
476837.2669,5116528.0249
476837.2573,5116527.6342
476837.2461,5116527.4415
476837.228,5116527.2517
476837.2002,5116527.0659
476837.1588,5116526.8858
476837.0988,5116526.7133
476837.0205,5116526.5572
476836.9251,5116526.4081
476836.8172,5116526.2642
476836.7005,5116526.1238
476836.5778,5116525.9858
476836.1955,5116525.5763
476836.0694,5116525.4383
476835.9473,5116525.2981
476835.8312,5116525.1545
476835.7239,5116525.0061
476835.6321,5116524.8594
476835.5496,5116524.7083
476835.4753,5116524.5543
476835.4228,5116524.4314
476835.3777,5116524.306
476835.3317,5116524.1308
476835.3,5116523.9504
476835.2786,5116523.7663
476835.2641,5116523.5796
476835.229,5116522.8237
476835.2155,5116522.6357
476835.1955,5116522.4495
476835.1662,5116522.2661
476835.1239,5116522.0863
476835.0659,5116521.912
476834.9948,5116521.7415
476834.914,5116521.5739
476834.8261,5116521.4087
476834.7333,5116521.2452
476834.3425,5116520.5997
476834.2486,5116520.4361
476834.1641,5116520.2697
476834.0944,5116520.0986
476834.0455,5116519.929
476834.011,5116519.7544
476833.9874,5116519.5761
476833.9717,5116519.3951
476833.9615,5116519.2121
476833.9551,5116519.0279
476833.9439,5116518.4729
476833.9304,5116518.1055
476833.9176,5116517.9243
476833.8981,5116517.7456
476833.8696,5116517.5705
476833.8288,5116517.4
476833.7733,5116517.2333
476833.6435,5116516.9051
476833.5108,5116516.5488
