x,y,value
476839.55,5116551.45,811.837
476839.64999999997,5116551.45,811.835
476839.75,5116551.45,811.833
476839.45,5116551.350000001,811.842
476839.55,5116551.350000001,811.84
476839.64999999997,5116551.350000001,811.837
476839.75,5116551.350000001,811.835
476839.85,5116551.350000001,811.833
476839.95,5116551.350000001,811.831
476840.05,5116551.350000001,811.829
476839.35,5116551.25,811.847
476839.45,5116551.25,811.844
476839.55,5116551.25,811.842
476839.64999999997,5116551.25,811.84
476839.75,5116551.25,811.839
476839.85,5116551.25,811.837
476839.95,5116551.25,811.835
476840.05,5116551.25,811.833
476840.14999999997,5116551.25,811.832
476840.25,5116551.25,811.831
476840.35,5116551.25,811.829
476839.14999999997,5116551.15,811.854
476839.25,5116551.15,811.851
476839.35,5116551.15,811.849
476839.45,5116551.15,811.847
476839.55,5116551.15,811.846
476839.64999999997,5116551.15,811.844
476839.75,5116551.15,811.842
476839.85,5116551.15,811.84
476839.95,5116551.15,811.839
476840.05,5116551.15,811.837
476840.14999999997,5116551.15,811.836
476840.25,5116551.15,811.834
476840.35,5116551.15,811.833
476840.45,5116551.15,811.832
476840.55,5116551.15,811.83
476840.64999999997,5116551.15,811.829
476839.05,5116551.05,811.859
476839.14999999997,5116551.05,811.857
476839.25,5116551.05,811.855
476839.35,5116551.05,811.853
476839.45,5116551.05,811.851
476839.55,5116551.05,811.849
476839.64999999997,5116551.05,811.847
476839.75,5116551.05,811.846
476839.85,5116551.05,811.844
476839.95,5116551.05,811.842
476840.05,5116551.05,811.841
476840.14999999997,5116551.05,811.839
476840.25,5116551.05,811.837
476840.35,5116551.05,811.836
476840.45,5116551.05,811.835
476840.55,5116551.05,811.833
476840.64999999997,5116551.05,811.832
476840.75,5116551.05,811.831
476840.85,5116551.05,811.83
476840.95,5116551.05,811.83
476841.05,5116551.05,811.829
476838.95,5116550.95,811.864
476839.05,5116550.95,811.862
476839.14999999997,5116550.95,811.86
476839.25,5116550.95,811.858
476839.35,5116550.95,811.857
476839.45,5116550.95,811.855
476839.55,5116550.95,811.853
476839.64999999997,5116550.95,811.851
476839.75,5116550.95,811.849
476839.85,5116550.95,811.847
476839.95,5116550.95,811.846
476840.05,5116550.95,811.844
476840.14999999997,5116550.95,811.842
476840.25,5116550.95,811.841
476840.35,5116550.95,811.839
476840.45,5116550.95,811.838
476840.55,5116550.95,811.836
476840.64999999997,5116550.95,811.835
476840.75,5116550.95,811.834
476840.85,5116550.95,811.833
476840.95,5116550.95,811.832
476841.05,5116550.95,811.831
476841.14999999997,5116550.95,811.83
476841.25,5116550.95,811.83
476841.35,5116550.95,811.829
476838.85,5116550.850000001,811.87
476838.95,5116550.850000001,811.868
476839.05,5116550.850000001,811.866
476839.14999999997,5116550.850000001,811.864
476839.25,5116550.850000001,811.862
476839.35,5116550.850000001,811.86
476839.45,5116550.850000001,811.858
476839.55,5116550.850000001,811.857
476839.64999999997,5116550.850000001,811.855
476839.75,5116550.850000001,811.853
476839.85,5116550.850000001,811.851
476839.95,5116550.850000001,811.849
476840.05,5116550.850000001,811.847
476840.14999999997,5116550.850000001,811.846
476840.25,5116550.850000001,811.844
476840.35,5116550.850000001,811.842
476840.45,5116550.850000001,811.841
476840.55,5116550.850000001,811.839
476840.64999999997,5116550.850000001,811.838
476840.75,5116550.850000001,811.837
476840.85,5116550.850000001,811.835
476840.95,5116550.850000001,811.834
476841.05,5116550.850000001,811.833
476841.14999999997,5116550.850000001,811.832
476841.25,5116550.850000001,811.831
476841.35,5116550.850000001,811.831
